date,bus_rkl,bus_rkn,bus_rpn,rail_lrt_ampang,rail_mrt_kajang,rail_lrt_kj,rail_monorail,rail_mrt_pjy,rail_ets,rail_intercity,rail_komuter_utara,rail_tebrau,rail_komuter
2022-05-16,87068,1820,24541,78606,79319,92095,19447,,11889,2841,9461,,
2022-05-17,146452,2730,34414,128240,126418,173924,24406,,7578,1476,8108,,
2022-05-18,146927,2718,33605,130407,130607,179596,24340,,6056,1366,5954,,
2022-05-19,146118,2636,32529,128679,129740,179286,24749,,7065,1915,7608,,
2022-05-20,147875,2649,33907,132789,137365,177055,27988,,10211,3106,8987,,
2022-05-21,103323,2731,28618,91821,95882,112718,23078,,9706,4024,9077,,
2022-05-22,97012,2588,29537,79686,82280,95912,21621,,10961,3132,9041,,
2022-05-23,141537,1756,34347,126363,127046,171952,24901,,7751,2607,6452,,
2022-05-24,145055,2701,33526,128581,131630,179714,25621,,6277,1414,5606,,
2022-05-25,143109,2711,33645,131098,133094,182571,25967,,6516,1358,5959,,
2022-05-26,149077,2617,33052,132872,135876,183744,26478,,8633,2266,7736,,
2022-05-27,144467,2775,33819,140420,139425,188027,28671,,11811,3563,10107,,
2022-05-28,105371,2006,27773,105814,103033,125357,26912,,11046,4225,9015,,
2022-05-29,94826,2238,26928,83464,87087,101529,25238,,11382,3222,9394,,
2022-05-30,143095,2540,31164,131014,132562,177696,26959,,8496,1603,6909,,
2022-05-31,146311,2506,31701,132499,137234,186095,27474,,6739,1459,6069,,
2022-06-01,148580,2675,33608,142442,143401,193943,27902,,7284,1851,6158,,
2022-06-02,146439,2684,32971,136092,140294,190196,27756,,10210,2754,8526,,
2022-06-03,145068,2765,35125,148201,144153,194596,30715,,12720,4440,11766,,
2022-06-04,101281,2181,26997,114042,103435,126549,28756,,12722,5992,11518,,
2022-06-05,100432,2432,33507,114199,107442,128614,34818,,12735,6064,11493,,
2022-06-06,94346,2063,30830,111961,98373,113716,28522,,12776,6904,13928,,
2022-06-07,136972,2409,33624,150203,141397,193520,29865,,12234,5729,10122,,
2022-06-08,141567,2432,33413,169440,150016,207724,31576,,11436,5540,8847,,
2022-06-09,137711,2289,31965,156703,148353,204177,31229,,11725,5850,10076,,
2022-06-10,135430,2268,32121,158942,147372,199677,32565,,12326,6374,10852,,
2022-06-11,101034,2336,27461,164593,104906,129486,26600,,12376,6515,10254,,
2022-06-12,99106,2404,30542,100356,89634,101999,25253,,12390,3500,9900,,
2022-06-13,145221,2713,34977,131546,134304,181545,27243,,9364,1954,7135,,
2022-06-14,147964,2731,34051,163757,141171,193835,27403,,6927,1852,6076,,
2022-06-15,149732,2696,34704,136466,141446,192143,27635,,7545,2439,6354,,
2022-06-16,146979,2761,34679,143577,158121,195241,29783,13367,8553,2489,8485,,
2022-06-17,147963,2680,34514,157576,171000,207611,35975,22621,11463,3877,10030,,
2022-06-18,112408,2374,28041,123615,149262,143497,36060,28885,10602,5584,9167,,
2022-06-19,108392,2110,29530,114630,141530,127028,35967,32066,11542,3817,11355,4348,
2022-06-20,153258,2753,33475,152913,164577,198575,34114,21564,9577,1995,7926,5553,
2022-06-21,157936,2753,34894,156975,171482,209439,34854,22535,7342,1805,6527,4986,
2022-06-22,156092,2663,34184,157490,175659,213269,35701,22845,7033,2190,6251,5046,
2022-06-23,159591,2756,33727,158203,174492,212473,36241,23000,8712,3197,7881,5357,
2022-06-24,153781,2455,34528,167111,183327,216502,41057,24787,11742,4465,9482,6528,
2022-06-25,124786,2530,28403,138982,165481,162279,42283,42374,11139,6175,9101,5747,
2022-06-26,113994,2432,27822,125384,148727,140700,43642,22542,11564,3773,9453,5704,
2022-06-27,157853,2532,34478,157283,169869,204633,35939,22913,9469,2274,7354,6581,
2022-06-28,159952,2493,34372,160579,173999,211062,36582,22649,7227,2244,6833,4766,
2022-06-29,162878,2350,32100,166271,179856,216743,37128,23601,7219,1931,6807,4884,
2022-06-30,163265,2430,32746,165063,178473,215592,38006,23815,8647,3152,7334,5278,
2022-07-01,163660,2885,35890,174670,188535,222001,42160,32369,11390,4438,9424,7113,
2022-07-02,122723,2755,30892,144912,165383,165494,42933,46503,10943,5878,9751,6560,
2022-07-03,117619,2437,31928,129491,155930,139231,41294,33215,11664,3863,10476,5689,
2022-07-04,163613,2793,34728,158703,170901,205686,37128,23313,9153,2681,7538,6322,
2022-07-05,166965,2842,35458,162472,175806,217152,37383,23872,7191,2291,6777,5105,
2022-07-06,166701,2777,36301,167665,180731,221650,38447,24288,9374,2160,8466,5064,
2022-07-07,165100,3038,28134,170024,179703,217903,38422,24679,11857,3751,10870,5972,
2022-07-08,162960,3535,32701,170958,180826,208846,40747,26366,12545,5529,13003,7463,
2022-07-09,119217,2712,33228,122152,140043,128805,40003,25503,11979,4328,10149,6954,
2022-07-10,104970,2023,32719,113075,145196,129409,44978,31152,10676,2780,6150,6604,
2022-07-11,111407,2393,30385,103647,113062,119503,39351,16772,12375,5219,11220,6684,
2022-07-12,145227,1989,32545,170811,211485,210442,35772,39049,11839,4998,11048,6173,
2022-07-13,162621,2684,33993,159044,174581,211022,36663,24103,10012,3542,8664,5324,
2022-07-14,161730,2464,34297,159337,175771,213817,37200,24913,8929,3907,7877,5731,
2022-07-15,162897,2532,34710,163570,181487,213174,39921,26812,11106,4489,9121,7211,
2022-07-16,108186,1916,29727,101087,109509,116248,26998,15629,10479,5769,8607,6528,
2022-07-17,94383,1974,29627,81755,88488,93781,23113,12694,11315,3824,8878,5664,
2022-07-18,148643,2474,34800,138425,146188,181558,29484,18345,9214,2362,7453,6363,
2022-07-19,153331,2535,32789,142936,151462,193037,28656,18433,6854,2090,6458,5136,
2022-07-20,155305,2626,34961,146074,155983,197842,29973,15662,7279,2389,6439,5084,
2022-07-21,150936,2730,34594,143225,152766,192678,29894,18836,8143,3194,8180,5633,
2022-07-22,148668,2391,35226,145341,152232,187516,32238,18912,11128,4361,9570,6771,
2022-07-23,102632,1917,30471,96401,105426,108353,26062,13438,10329,5638,8880,5969,
2022-07-24,90814,1685,29463,81384,88110,88813,23479,12108,11126,3949,9251,4966,
2022-07-25,148219,2408,33712,142472,148443,183219,29913,18612,9366,2562,7501,5986,
2022-07-26,153655,2383,34968,145951,154324,197510,30434,18953,7460,2156,6603,5428,
2022-07-27,151364,2353,34308,145561,154517,196302,30623,18821,7294,2581,6481,5412,
2022-07-28,150141,2289,34625,143779,152609,191922,30801,18598,9374,3424,8331,5838,
2022-07-29,151703,2413,36432,150071,154424,187346,34312,19537,11840,4714,10623,6742,
2022-07-30,99321,1957,30133,103035,114520,119090,32754,14830,11196,6443,10368,6200,
2022-07-31,95248,1897,30775,88705,98056,101614,27995,12527,11371,6296,10436,5057,
2022-08-01,152815,1716,35618,145387,151893,186888,32429,19159,9563,3312,7754,6787,
2022-08-02,153731,2719,35430,147793,157421,198902,32611,19559,7305,2093,6901,5725,
2022-08-03,153964,2550,34632,148050,161055,202120,32552,19806,6936,2751,6582,5721,
2022-08-04,164281,2653,35150,150031,161231,200429,33609,20196,8450,2947,8615,6618,
2022-08-05,167574,2647,36907,155395,162358,197260,36478,20504,11552,4336,10390,8325,
2022-08-06,139339,2187,32591,107678,116458,119981,33278,14734,10942,5930,10027,7361,
2022-08-07,136749,2303,32861,94151,99650,101612,32125,13488,11689,4094,10452,6753,
2022-08-08,175094,2776,35524,146547,155300,190783,33390,19771,9433,2266,7644,8932,
2022-08-09,175026,2769,36421,150965,161579,204577,33348,20316,7451,2202,6677,6180,
2022-08-10,181132,2494,35825,152762,163706,207871,33713,20556,7445,2257,6985,7879,
2022-08-11,175472,2666,34971,150168,160445,202523,33399,19978,8677,2920,8797,6595,
2022-08-12,174008,2655,35976,151993,159548,196478,34937,20875,11523,4333,10536,8393,
2022-08-13,143937,2881,30622,101045,109237,115701,29379,14392,10748,6147,9652,7096,
2022-08-14,149191,2549,31349,86580,92376,96053,27256,12642,11683,4233,10448,6272,
2022-08-15,154172,2531,34417,146836,153682,190010,33455,19807,9618,1886,7752,7378,
2022-08-16,158185,2746,35332,150633,159716,204832,33594,20229,7415,1954,6837,6578,
2022-08-17,158027,2552,35294,151232,164180,207230,34013,20524,7278,2107,6850,6301,
2022-08-18,159143,2637,34452,160782,161687,203418,33978,20438,8749,2642,8663,6681,
2022-08-19,156225,2634,35894,152171,160859,198205,35595,20606,11455,4182,10060,8619,
2022-08-20,102122,2598,30071,97033,107012,114357,27834,13816,10881,5786,9882,7163,
2022-08-21,97039,2401,29197,84907,93935,97222,25800,12329,11561,3791,9676,6088,
2022-08-22,154176,2566,34791,147002,149240,191757,32817,19535,9305,2416,7486,7128,
2022-08-23,156776,2454,34050,152237,161510,207057,34355,20418,6903,1912,6275,6109,
2022-08-24,159155,2413,34894,153364,165996,211256,34182,20961,7095,2345,6622,6558,
2022-08-25,157386,2471,34083,151014,161239,205547,33691,20109,8562,3441,7962,7060,
2022-08-26,155734,2795,35180,158883,163931,204589,36049,21188,11632,4047,10226,8588,
2022-08-27,104078,2649,30528,108547,110295,120729,30076,15019,11091,5856,10101,7430,
2022-08-28,94974,2305,30011,94873,94220,102529,27811,12616,11745,3663,10416,6314,
2022-08-29,152677,2401,34306,153956,157453,199398,35159,20308,9155,2508,7681,7706,
2022-08-30,162623,2184,36593,167338,172609,228041,37966,21924,9611,3550,9065,6876,
2022-08-31,108145,2213,31685,173713,163601,184232,42909,23353,10933,6002,9253,7202,
2022-09-01,156342,2573,34924,152642,162101,202727,34940,20986,10086,5239,9881,8690,
2022-09-02,154336,2847,35748,160229,164729,200995,37202,21756,12308,5180,12984,9072,
2022-09-03,104847,2175,30906,111243,112500,123338,31443,14991,12082,6477,12371,8628,
2022-09-04,95697,2292,30713,100744,101698,111391,31016,13556,12214,6130,13236,7613,
2022-09-05,148134,1953,34570,154253,164266,205600,38073,22135,11813,6412,11093,8905,
2022-09-06,151413,2151,34784,159092,173872,221795,39574,22858,11483,6219,10440,8672,
2022-09-07,156190,2355,33392,164828,180790,230551,40112,23879,11865,6745,11231,8599,
2022-09-08,154151,2158,34453,162335,176304,226156,39591,23942,11979,6589,11915,9163,
2022-09-09,147284,2363,35299,163997,169322,212490,40699,22692,12368,7136,13347,9337,
2022-09-10,108422,2373,31738,177487,122024,137828,36256,15501,12280,6768,12390,8074,
2022-09-11,97127,2441,32804,93666,97117,102184,29395,13279,12322,4960,12059,6694,
2022-09-12,161406,2659,35813,156689,163172,203283,34954,21803,10795,2984,8089,7870,
2022-09-13,164234,2763,36196,159617,169839,217410,35173,22252,8217,2455,7345,7031,
2022-09-14,163093,2456,35488,159729,172653,220095,35197,22634,9843,2978,7582,7117,
2022-09-15,161704,2831,36371,164838,174798,219467,36703,24152,12441,4401,16660,7813,
2022-09-16,97927,2457,32005,104734,121125,122381,33910,15634,12538,6312,12644,9442,
2022-09-17,98618,2407,31633,96704,107675,115563,31106,15031,11489,6694,10747,8090,
2022-09-18,92421,2116,30493,86581,89529,94374,25471,12616,12568,5746,15070,6937,
2022-09-19,157155,2505,35505,149896,157553,193719,32929,21583,10925,2618,8344,7913,
2022-09-20,164167,2588,36309,155978,166570,212002,33904,22265,7902,2480,7101,7064,
2022-09-21,165383,2315,36110,157815,170636,215809,34817,22595,7194,2969,6791,7044,
2022-09-22,157157,2325,36402,156310,167402,209113,35712,22700,8368,4075,8742,7623,
2022-09-23,162999,2532,36141,160308,168652,204794,36377,22694,11475,4610,10813,8829,
2022-09-24,111449,3000,30372,109484,117224,122413,30825,15972,10924,6488,10289,7698,
2022-09-25,98984,2427,31676,90950,96122,99624,27495,13362,11604,4234,10456,6670,
2022-09-26,157759,2482,36334,143071,158876,188643,31912,22159,9472,2591,7982,8120,
2022-09-27,161096,2668,36395,156668,168985,210920,35162,23203,7231,2420,6999,7203,
2022-09-28,159663,2388,35876,159188,171649,215116,35536,23193,7693,2505,7094,7427,
2022-09-29,159477,2456,35726,156950,169513,210350,35454,22716,8993,3275,9136,7910,
2022-09-30,154976,2347,37015,160936,171478,205963,37417,23070,11738,4658,11180,9170,
2022-10-01,110411,2468,32863,116122,119158,127192,32171,16077,11733,6221,11022,7966,
2022-10-02,104129,2161,34274,98055,101951,109332,30833,14074,11920,4578,11404,6615,
2022-10-03,160316,2374,37550,158374,167131,205792,36553,23177,9980,2806,8301,7950,
2022-10-04,162678,2614,37730,162512,174625,221519,37419,23623,7366,2396,7135,7295,
2022-10-05,165891,2466,36888,163866,177469,225715,37852,24231,7822,2969,7453,7292,
2022-10-06,163242,2672,37080,161898,174141,221409,38142,23883,10439,4106,11324,8659,
2022-10-07,157520,3087,39446,164935,173747,212753,40062,24454,13163,5203,14433,9202,
2022-10-08,108749,2789,34493,113894,122057,133005,35525,16871,13163,6690,12835,8532,
2022-10-09,104833,2662,34862,102401,111970,120017,37969,16093,11912,7108,13077,7324,
2022-10-10,92558,1585,30502,95038,97844,102022,27225,14770,13325,4271,14019,8344,
2022-10-11,159211,2748,38819,161625,170777,217648,38133,24095,10498,2186,8154,7533,
2022-10-12,157163,2371,36438,161413,174013,221821,38188,24337,8353,2767,7540,7642,
2022-10-13,164469,2349,36322,160827,171864,220431,37442,24083,8881,3388,9996,8472,
2022-10-14,161509,2607,38730,163305,171958,214623,39618,23718,11271,4460,10711,9194,
2022-10-15,108297,2120,29637,104253,112804,124157,31574,15700,11381,5511,10873,8048,
2022-10-16,104336,2525,31006,93832,97384,106501,30149,13651,11659,4180,10602,7013,
2022-10-17,166737,2448,37212,157299,164509,205096,36473,23186,9250,2357,8122,8411,
2022-10-18,169874,2358,38025,160972,171010,219875,37125,24113,6970,2540,6988,8100,
2022-10-19,173014,2620,37938,164448,175928,225231,37229,24400,8201,2976,7265,8229,
2022-10-20,170666,2575,37459,164358,172372,221514,38633,24108,11498,4202,13535,9103,
2022-10-21,165813,3004,38716,172207,177454,216630,40305,25494,14575,6370,18373,9267,
2022-10-22,121614,2538,32556,126259,123374,135745,36040,16932,13490,6499,13900,8570,
2022-10-23,125646,2279,36322,106936,122637,133166,40629,16119,13094,6435,12162,8011,
2022-10-24,92440,1723,30837,94237,104690,110824,32713,14918,13647,7648,14955,7862,
2022-10-25,139610,1995,31699,143924,157297,192263,35348,21536,12271,5830,12411,8178,
2022-10-26,144000,1587,31788,145891,160523,200722,34764,22214,11757,3651,9555,7726,
2022-10-27,154173,2308,34438,149982,162031,204578,35269,21914,9998,4008,8777,8044,
2022-10-28,153897,2267,37146,152216,163733,200216,37216,21947,11643,4359,10422,9000,
2022-10-29,106514,2067,31381,101828,113962,124113,31324,14818,11631,6046,10998,7926,
2022-10-30,96044,2208,31451,85914,93444,100900,27505,12476,12453,3698,10523,6690,
2022-10-31,156866,2160,33952,150314,160863,196177,35372,22922,9570,1951,7764,8141,
2022-11-01,167117,2432,37424,157158,170242,213340,37072,23617,6666,1786,6879,7442,
2022-11-02,165692,2448,35763,157499,169483,215830,37402,23876,6614,1785,6965,7479,
2022-11-03,165775,2466,36270,157201,169336,212684,37200,23674,10525,3090,10167,8176,
2022-11-04,162071,2632,39332,160658,171719,207194,40336,24094,12356,4106,12440,9101,
2022-11-05,113270,2589,30608,104667,119076,118744,34467,16989,10995,5070,11409,7936,
2022-11-06,101983,2393,34650,93949,99636,102587,29743,13648,12063,3775,12272,6807,
